timestamp,open,high,low,close,volume
2017-10-01,4378.49,4406.52,4240.04,4378.48,726.963685
2017-10-02,4400.0,4561.63,4360.0,4380.0,655.756974
2017-10-03,4380.0,4467.33,4180.8,4310.0,1082.323563
2017-10-04,4310.0,4373.0,4142.0,4208.59,868.465101
2017-10-05,4208.59,4355.0,4110.0,4292.43,779.138638
2017-10-06,4318.99,4417.0,4292.0,4369.0,506.529176
2017-10-07,4369.0,4479.5,4312.56,4423.0,297.5975
2017-10-08,4425.0,4658.0,4425.0,4640.0,518.462004
2017-10-09,4640.0,4889.98,4550.0,4786.95,646.463145
2017-10-10,4786.95,4960.0,4680.59,4783.06,1043.221773
2017-10-11,4783.06,4881.61,4710.0,4821.43,753.429396
2017-10-12,4821.43,5439.99,4810.16,5430.0,1276.701482
2017-10-13,5430.0,5846.17,5379.84,5649.98,1879.82762
2017-10-14,5650.0,5900.0,5580.01,5869.99,970.759046
2017-10-15,5855.03,5922.3,5400.01,5709.99,1343.523375
2017-10-16,5710.0,5788.91,5585.19,5760.02,1528.996462
2017-10-17,5760.0,5774.98,5508.63,5595.0,1429.869376
2017-10-18,5595.0,5596.0,5037.95,5512.06,2317.804373
2017-10-19,5513.0,5710.0,5490.26,5683.9,1881.722107
2017-10-20,5683.9,6110.0,5600.0,6010.01,1972.97722
2017-10-21,6013.72,6171.0,5850.03,6024.97,1664.307693
2017-10-22,6024.97,6060.0,5720.03,5950.02,1362.092216
2017-10-23,5950.02,6080.0,5621.03,5915.93,1812.557715
2017-10-24,5909.47,5925.0,5450.0,5477.03,2580.418767
2017-10-25,5477.03,5704.96,5286.98,5689.99,2282.813205
2017-10-26,5689.99,5939.99,5650.0,5861.77,1972.965882
2017-10-27,5861.77,5980.0,5649.24,5768.83,1403.706416
2017-10-28,5768.83,5850.02,5630.03,5719.64,1276.754412
2017-10-29,5719.64,6189.88,5648.01,6169.98,1804.778173
2017-10-30,6133.01,6248.68,6030.0,6120.5,1473.687043
2017-10-31,6120.5,6498.01,6100.0,6463.0,1511.774925
2017-11-01,6463.0,6774.67,6338.02,6753.98,1675.615188
2017-11-02,6753.98,7300.0,6685.1,7019.98,2503.610803
2017-11-03,7010.31,7346.34,6923.0,7115.04,1891.497592
2017-11-04,7115.02,7480.99,6901.0,7357.09,1399.191767
2017-11-05,7357.27,7590.25,7279.02,7345.01,1207.83233
2017-11-06,7345.1,7401.0,6906.0,6960.12,1763.019261
2017-11-07,6981.72,7198.49,6901.0,7064.04,1440.259494
2017-11-08,7064.04,7770.02,6651.0,7303.0,2822.298802
2017-11-09,7303.01,7392.0,7015.0,7079.99,1913.398308
2017-11-10,7079.0,7279.91,6255.01,6506.98,3254.704105
2017-11-11,6503.0,6797.98,6100.0,6245.05,2754.156861
2017-11-12,6245.05,6630.0,5325.01,5811.03,4968.483069
2017-11-13,5839.94,6697.47,5699.99,6465.99,2621.243039
2017-11-14,6465.99,6684.98,6311.07,6574.99,1254.292531
2017-11-15,6575.99,7298.0,6575.99,7240.06,1779.605845
2017-11-16,7240.14,7940.0,7076.0,7864.5,2331.95675
2017-11-17,7876.98,7989.0,7451.0,7699.19,3982.395925
2017-11-18,7699.19,7819.99,7422.0,7761.94,3954.266477
2017-11-19,7761.94,8123.15,7650.33,8038.0,3867.340444
2017-11-20,8057.11,8319.99,7954.0,8212.0,3886.634348
2017-11-21,8212.49,8400.0,7801.0,8119.51,4544.474016
2017-11-22,8119.51,8322.68,8091.09,8205.92,3545.00571
2017-11-23,8233.03,8260.0,8000.0,8019.99,4093.952687
2017-11-24,8019.97,8369.0,7850.0,8138.0,4411.789112
2017-11-25,8138.99,8734.78,8090.0,8700.01,4292.623682
2017-11-26,8700.04,9350.0,8604.72,9128.02,4147.380237
2017-11-27,9128.0,9654.28,9112.04,9650.0,4521.625707
2017-11-28,9650.0,9939.0,9570.5,9896.8,4917.210985
2017-11-29,9896.79,11300.03,8520.0,9687.88,13352.538715
2017-11-30,9687.88,10900.0,8850.8,9838.96,9389.574329
2017-12-01,9837.0,10898.0,9380.0,10782.99,6134.923633
2017-12-02,10775.04,11190.0,10620.0,10890.01,4765.439757
2017-12-03,10902.69,11825.0,10500.0,11165.41,5346.636524
2017-12-04,11165.41,11616.0,10802.0,11616.0,4629.769359
2017-12-05,11608.0,11853.0,11447.68,11699.99,5541.611055
2017-12-06,11698.0,13615.23,11665.58,13545.53,6708.407183
2017-12-07,13545.53,16649.96,13050.0,16533.11,7488.515184
2017-12-08,16552.9,17204.99,14015.0,15880.0,17590.885276
2017-12-09,15880.0,16269.3,12535.0,14699.97,13914.207707
2017-12-10,14699.97,15720.12,12368.0,14946.26,16552.924336
2017-12-11,14901.08,17470.0,14901.08,16560.02,11822.314528
2017-12-12,16560.04,16976.45,15875.0,16350.0,9438.507116
2017-12-13,16350.0,16546.0,14666.56,16020.42,12415.141113
2017-12-14,16046.58,16445.0,15450.0,16340.0,11615.766474
2017-12-15,16339.99,17991.0,16300.06,17516.81,9181.486777
2017-12-16,17516.81,19539.0,17190.01,19102.66,4202.72596
2017-12-17,19102.66,19798.68,18510.0,18860.02,9178.028006
2017-12-18,18865.0,19300.0,17029.98,18856.25,10622.013554
2017-12-19,18856.25,18950.0,16300.0,17295.2,13210.74822
2017-12-20,17295.2,17720.35,14777.66,16488.98,13450.496693
2017-12-21,16480.52,17309.5,14022.0,15492.64,20324.2173
2017-12-22,15514.03,15699.34,10961.0,13326.61,36076.271175
2017-12-23,13326.61,14950.0,12978.18,13300.0,13141.538875
2017-12-24,13300.0,13819.99,11640.0,13500.0,28557.534988
2017-12-25,13500.0,14300.0,12708.0,13699.34,15748.207607
2017-12-26,13699.34,16050.0,13533.0,15689.01,15034.668104
2017-12-27,15709.98,16498.05,14200.15,15459.99,14959.864723
2017-12-28,15459.97,15539.99,13150.0,14182.11,21717.858014
2017-12-29,14199.14,14981.0,13850.0,14378.9,18072.008116
2017-12-30,14378.99,14398.85,11750.0,12440.01,19221.158039
2017-12-31,12345.1,14050.11,12149.98,13716.36,11768.989718
2018-01-01,13715.65,13818.55,12750.0,13380.0,8609.915844
